taxonID,scientificName,parser_run
799120ca-c6b7-5c11-86a5-8c1864bfe4d8,Acicula banatica,1
d07a5ac4-4c9b-509a-a485-64f3be5646c0,Acicula parcelineata,1
4032a783-a7b3-5307-af9a-48c1420e89b8,Acicula perpusilla,1
381d8e88-eb84-5091-8087-d0e85d731e8e,Acicula polita,1
fb42001c-4258-5fb0-a67d-20911d35450c,Aciculiscala,1
02be620b-fb07-5247-85a9-1c80aa225b3f,Acidiphilium cryptum,1
22189680-1d54-5814-8ab0-61dccb123390,Acidithiobacillus ferrooxidans,1
c6ee69ca-4f7e-544a-81d4-c7be518e4541,Acidocella1,
d65ceba5-67e8-50ec-a88f-bd8ad5791f86,Acidovorax avenae subsp. avenae,1
fc17182a-b949-5453-8d39-bf38a0149221,Acidovorax avenae subsp. citrulli,1
0d73b987-5495-5e5f-8e53-fb9815117d4f,Acinetobacter johnsonii,1
08472660-0035-50cb-9f85-ffd74a4fa19a,Acinonyx jubatus,1
b98a6cf7-2366-5adc-a371-255d7093797b,Acinonyx jubatus jubatus,1
5453eb79-b56a-526f-abc7-f7f8263e1c28,Acinonyx jubatus raineyi,1
c99e6ff6-d065-538e-bd0c-02443164151b,Acirsa,1
7cc3c78a-01d6-561d-9485-5f074e21171b,Acmaea,1
14d1521d-e4c1-59fd-83d2-733ff62bb927,Acnistus arborescens,1
665823d4-f5c4-59ec-8e35-e6f4a5d4757a,Acomp,1
8b71fcfd-76f9-5e3c-a521-fd2d3d350196,Acontiinae,1
0eab364f-bccc-566a-9d25-ba1c1c281458,Acorus americanus,1
f73787f0-9ff8-5995-b84b-c7862c6f514f,Acrida,1
927caae6-09dd-5433-b367-b2a12ec25f2f,Acrida turrita,1
e47f2d34-70c4-59d7-bb91-cb003c1af0dc,Acrididae,1
0804d4ba-241f-5d6f-91c9-1b512e11506a,Acridoidea,1
f402e8da-f1dd-58cc-8d8e-33618e88b03f,Acris blanchardi,1
af08056e-3294-5d5b-8a1d-6b3ad9d36d61,Acris crepitans,1
50eb89b9-8dec-51cd-a135-196070030e93,Acris gryllus,1
ff564000-cd38-554e-b41f-c86e3f535e80,Acrocephalus arundinaceus,1
0175ddc5-a6de-5347-b9e3-a809924dfd83,Acrocephalus melanopogon,1
2d3982c3-f8c5-57b2-8a50-fce384154811,Acrocephalus palustris,1
ac1cc583-2393-51fd-b321-919237075cec,Acrocephalus schoenobaenus,1
d769bd4d-8c03-5eab-842c-2f35635158ac,Acrocephalus scirpaceus,1
aeb715b5-9916-5305-a481-d6aa791c9d50,Acronictinae,1
b1f54e7f-caa3-59f6-9abf-0ef1a112e033,Acrophyllum australe,1
65418649-906d-5243-af5e-6786569c616f,Acropora millepora,1
14a6621b-8f8e-5424-a735-14e36f4a71e2,Acropora0m,
a0813311-e2df-53fd-8f5f-62fb7a408eb0,Acsmithia elliptica,1
99897913-ec77-58eb-9a17-ce7fed7f4160,Actenoidea,1
cbf4cca7-6625-59b7-ab52-ce88d7617584,Acteocina,1
6e57a85d-c350-5c2a-b500-20d33bb5c906,Acteon,1
e86cf29f-4b2b-57b8-a469-c0a3d34b8233,Acteon tornatilis,1
1860b741-40db-59ce-84bb-3b731ed65044,Acteonella,1
57a328db-82f7-5040-ae51-6a2757d3d7f8,Acteonidae,1
ed96d002-5810-580e-8217-b725ceeb6316,Actinobacteria,1
34e780b5-982c-568a-bbd2-d1dfa963c2f2,Actinozygus,1
ecfd5cdd-3a30-55a6-a868-a0daf6d0cc46,Actinozygus geometricus,1
0ef7cec0-aa4c-5240-995e-e150a4961959,Actinozygus regularis,1
9babc7a4-f5ef-5998-be3f-2c5a3352e672,Actinozygus reniformis,1
4af94982-db85-5dc3-bae8-2ba68b1819d6,Actinozygus splendens,1
e119f15d-3d49-5c46-828d-e6da009402f2,Actitis hypoleucos,1
5238b1a9-7043-5ad0-b0c4-67b7d8a2ac11,Acusta despecta despecta,1
13737707-13c3-5275-a6b2-436386a97e0c,Acuturris,1
50dda018-1c1b-52dc-9ab9-198487c19a59,Acuturris scotus,1
14753a34-e072-5874-b28f-556e932f3272,Adcrocuta eximia,1
a9075502-44c0-51fd-bbe1-359f26bde5f8,Addax nasomaculatus,1
540eb745-d46e-592c-b9a0-8a7d2a0ac402,Adelomyia melanogenys,1
7ebc713c-2385-5ea2-b151-75202450fbb0,Adelophryne gutturosa,1
5875aabe-cbbb-5d68-98d2-513a09855cc3,Adelotus brevis,1
b6816fef-3a03-53a2-81e9-3126d31a2b5d,Adenomera andreae,1
05097eda-98e7-5b43-9c98-b64b93b3921a,Adenomera heyeri,1
19c4de40-86de-5aa5-b0a7-bf74390b88c7,Adenomera hylaedactyla,1
e9f1b6f8-7e76-56d3-88a9-378a958c5890,Adenomera lutzi,1
65945bf5-cccd-51e8-b6a1-a6f276ba7d7c,Adenomus kelaartii,1
b3e44d55-1605-58c1-89c4-9f1ffbf2a4ae,Adh,1
2e4ade1c-d621-52ba-8152-803ee44bae78,Admetula,1
00873eea-c190-5217-b9b1-90db363c99a8,Aedes,1
1634efaf-d706-5cdb-942b-2a72424fb937,Aedes taeniorhynchus,1
765af1fa-aeef-5666-890e-bc568bcdabd2,Aegista elegantissima,1
71519add-f61f-58f3-8e0a-7fadb0863cb3,Aegista hatakedai,1
65e6fb9b-8e84-5441-be6d-b514fcecc320,Aegista oculus,1
016d4e51-a31f-57d9-86e7-893466d08c7d,Aegista vermis,1
2f089102-95b3-50dc-b379-58e950491f61,Aegithalos caudatus,1
92941e48-5601-5d2c-a6db-05259b4aa903,Aegopinella epipedostoma,1
adc323ad-f493-583c-959f-d02921a06c1e,Aegopinella minor,1
e5eaed47-ce07-5fe5-812f-0ea23f2e3143,Aegopinella pura,1
a003e3a4-9f60-5c71-b2e7-ec15347fbd2b,Aegotheles insignis,1
396a20be-17f9-5ded-9612-b4ce4e817621,Aelurodon stirtoni,1
d9caf70a-d308-5cf0-a279-c0734f071ec8,Aenona,1
f249f28c-c955-58b5-ac48-afee96fadea6,Aepiryrymnus rufescens,1
4216908a-d2ed-5b66-b6c0-5d512ab354b0,Aepyceros melampus,1
10b696d2-1725-5ba5-b0f9-bab3537258f7,Aerodramus salangana,1
8faa775d-0023-50e1-9283-e7ac984fc01e,Aerodramus vanikorensis,1
d4052f77-a566-5a2c-8c0d-356d27affa0f,Aerolatae,1
48bf4e43-98e7-595c-9fb7-96b615c6cc56,Aeronautes saxatalis,1
a6eeb97d-e96e-5003-a890-e9250d6fe520,Aeropyrum pernix,1
0bd83c93-2863-5045-91ba-8408b56152f2,Aeschynanthus,1
a646276e-5bf0-541b-b108-b65b6ea96f44,Aesculus,1
6e1436c9-3b48-5111-b06f-8ed05756a5b4,Afa Plus,1
56a6053f-cfe0-5521-b2b8-5dc231b70b68,Afrix paradorsalis,1
5b2cc707-adef-5d01-9e4e-2306f2300c49,Afrixalus delicatus,1
6cdb8e00-9c79-55a8-9976-8567cf65b19f,Afrixalus dorsalis,1
f1bbdc79-8d9c-57d3-8760-1ebe873b16cd,Afrixalus fornasini,1
4d3decb8-e9ae-5a1a-b3dd-bcb354a1e53b,Afrixalus knysnae,1
634ae852-7caf-5332-a5a3-227d31f025b1,Afrixalus laevis,1
89c0a788-27c2-50cb-a0d8-5ab37ddd1307,Afrixalus paradorsalis,1
cef0b434-bebe-58fc-aff0-fd947acabe59,Afrixalus stuhlmanni,1
7999f7b9-e6ee-5d82-a7cf-df6ea22bf864,Afrostyrax kamerunensis,1
0510b59b-3cab-5462-aead-d104dbb001cd,Afrostyrax lepidophyllus,1
c21f7a4b-289a-5874-a7ab-080c33fd26ec,Agalychnis annae,1
7b92c33c-0afe-5bfd-9bbe-a57fd3dd20af,Agalychnis callidryas,1
f3c4ac25-9b01-57e1-bff8-b0701dae4fa9,Agalychnis litodryas,1
4f717df7-a56f-5560-9fab-6392eb753ae0,Agalychnis moreletii,1
53b613c1-8822-515e-aea3-d036980048d9,Agalychnis saltator,1
0d5b3eff-4326-514b-b939-7a69e2bdf8e9,Agalychnis spurrelli,1
c244678c-de07-58f9-a291-cccad4b9fba7,Agarodes distinctus,1
6c2e3f3b-f84b-5b28-85bc-4a0bb0e66f98,Agaronia,1
af01a09a-5adf-5fa5-adaf-02a95c206aa0,Agathemera,1
190e9946-5eee-592a-88b9-1b09642eabf3,Agathemera crassa,1
ac379dca-25e2-54da-bde0-fbd730e09315,Agave,1
efaaceb8-3e87-572f-8fb9-74e0047ebd29,Agave tequilana,1
c8a36f48-3292-52b8-9ebf-791d8c8bc81a,Agavoideae,1
0d0c9a15-8443-5dce-85a4-0d27297d89f4,Agelaius phoeniceus,1
aaeea070-e172-56c8-a66e-562868624405,Agerostrea,1
364d93d0-3c1f-55ba-afb3-92280ddd45ca,Aglaeactis castelnaudii,1
10e31907-7bc7-5fb2-8a19-85791c1e3d25,Aglaeactis cupripennis,1
0f93d49e-caa5-5046-aff9-3f9db5418dcb,Aglaiocercus coelestis,1
77260dc8-3b63-572d-b000-857b45cfb599,Aglaiocercus kingi,1
8b532033-f0ff-5880-943a-cb5a71b640df,Agliinae,1
3cc8f0bc-2458-591f-8c17-7d82669f2222,Aglyptodactylus laticeps,1
00384b3e-be45-532e-8315-0a73e163b212,Aglyptodactylus madagascariensis,1
556879f5-2801-5e80-9579-93f626232ce3,Agrm4,
ede43b4a-65e9-5d6f-9cbc-b03a33b49d5a,Agro157,
e5e3e81e-14d7-5def-912c-506ed2d108bc,Agrobacterium tumefaciens,1
8431d64c-a759-5104-ac44-dc2dcadd9eea,Agrobacterium vitis,1
b4079b15-0289-5d9f-9ee7-18db1211b38f,Agrostis capillaris,1
a08f7be7-a45c-556a-b932-e2c948d5baba,Ahmuellerella,1
20c97b6c-7135-5f3f-b8ff-6a9cd385ac5f,Ahmuellerella asper,1
9e9a7b77-ba7a-5490-864b-2b09eb47cf7f,Ahmuellerella oblata,1
223596c3-432b-57be-8a8a-4ad5e347d0aa,Ahmuellerella octoradiata,1
d5d73a03-f1a1-5b1b-b83b-0497699f53e3,Ahmuellerella plebius,1
dadf53b1-19f3-50de-b255-e8ac3d2ad48a,Ahmuellerella regularis,1
f17d548f-9513-5d59-83f4-7b7b2634d181,Ahmuellerella retiformis,1
3419a374-8001-504c-9525-3994ef09af80,Ailanthus,1
bab5e550-7604-5b95-aec8-6fdca1315d78,Ainf Noct,1
9b5466a3-0bcc-5cc8-be77-54cd8101b62d,Aip Noct,1
6988ab6f-5dd3-598e-8d9e-99cc006390b4,Akebia,1
ac61ed72-c89a-50dd-857a-f829c99b053f,AlBulk er2,
97ae496e-8b4c-58a8-9476-7fb2395ef024,Alauda arvensis,1
2588643b-6fbe-5ddb-882f-df549743e72b,Albatrellus skamanius,1
059e8592-db09-5586-a02c-5865929f1c04,Albericus laurini,1
cb3606b2-e31b-5970-b93a-c5f21a30f621,Albinaria coerulea,1
b664ea27-9f02-5814-9d4c-700c6264354c,Albizzia,1
